DATE,UUID,TOUCHLESS FLG,TOP Select - FAUCET / Series,TOP Select - FAUCET / Shape,TOP Select - FAUCET / Colour,TOP Select - LAVATORY,FAUCET,FAUCET COLOUR,SOAP DISPENSER,SOAP TANK,CONTROLLER UNIT,OPTION,LAVATORY
2023-06-19 10:45:05,16871391052504537076603580170-,,1,,,,TLE28001,PC,TLK07001,TLK01101,TLE03501,,L762
2023-06-19 10:45:12,16871391052504537076603580170-,,1,,,,TLE28001,PC,TLK07001,TLK01101,TLE03501,,LW588RB
2023-06-19 10:45:54,16871391052504537076603580170-,,,,,1,TLE28001,PC,,,TLE03501,,LW710
2023-06-19 15:20:50,16871556505043813741926246359-,1,1,,,,TLE28001,PC,TLK07001,TLK01101,TLE03501,,LW596
