DATE,UUID,TOUCHLESS FLG,TOP Select - FAUCET / Series,TOP Select - FAUCET / Shape,TOP Select - FAUCET / Colour,TOP Select - LAVATORY,FAUCET,FAUCET COLOUR,SOAP DISPENSER,SOAP TANK,CONTROLLER UNIT,OPTION,LAVATORY
2025-03-04 17:56:12,1741078572117893110983381999-,,,,,1,TLP02301,PC,,,,,LW1315
2025-03-04 19:51:55,1741078572117893110983381999-,,,,,1,TLP02301,PC,,,,,LW1316
2025-03-07 20:46:23,1741078572117893110983381999-,,,,,1,TLP02301,PC,,,,,LW1315
2025-03-07 21:14:13,1741078572117893110983381999-,,,,,1,TLP02201,PC,,,,,LW1316
2025-03-07 21:14:41,1741078572117893110983381999-,,,,,1,TLP02201,PC,,,,,LW1315
2025-03-10 12:36:23,1741078572117893110983381999-,,,1,,,TLG13307,PC,,,,,LW1514
2025-03-10 12:36:44,1741078572117893110983381999-,,,1,,,TLG13306,PC,,,,,PJS03
2025-03-13 13:37:29,1741078572117893110983381999-,,1,,,,TLP01701,BN,,,,,LW4716
2025-03-13 13:42:07,1741078572117893110983381999-,,,1,,,TLP03301,PN-BN,,,,,LW523
2025-03-13 16:18:28,1741078572117893110983381999-,,1,,,,TLP01701,PFG,,,,,LW4716
2025-03-17 16:20:00,1741078572117893110983381999-,,1,,,,TLP02304,PC,,,,,LW4716
2025-03-17 16:26:01,1741078572117893110983381999-,,1,,,,TLG07303,PFG,,,,,LW4716
2025-03-17 16:26:13,1741078572117893110983381999-,,1,,,,TLP01701,PGP,,,,,LW4716
2025-03-17 16:26:31,1741078572117893110983381999-,,1,,,,TLP01701,BN,,,,,LW4716
2025-03-17 18:23:16,1741078572117893110983381999-,,1,,,,TLP01701,BN,,,,,LW4715
2025-03-21 18:14:39,1741078572117893110983381999-,,1,,,,TLS073J0,PC,,,,,LT533R
2025-03-21 18:14:59,1741078572117893110983381999-,,,,1,,TLS073J0,PC,,,,,LT533R
2025-03-21 18:58:09,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-21 18:59:01,17425511414673333131610488742-,1,,,,,TLE24003,PC,,,TLE03501,,LW630
2025-03-21 19:08:27,1741078572117893110983381999-,,1,,,,TLS06301,PC,,,,,LW596
2025-03-21 19:17:35,1741078572117893110983381999-,,1,,,,TLS06301,PC,,,,,LW596
2025-03-24 18:54:02,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-24 18:54:15,1741078572117893110983381999-,,,,,,TLS03305,PC,,,,,LW896
2025-03-24 19:16:14,1741078572117893110983381999-,,1,,,,TLS073J0,PC,,,,,LT533R
2025-03-25 10:02:34,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
