DATE,UUID,TOUCHLESS FLG,TOP Select - FAUCET / Series,TOP Select - FAUCET / Shape,TOP Select - FAUCET / Colour,TOP Select - LAVATORY,FAUCET,FAUCET COLOUR,SOAP DISPENSER,SOAP TANK,CONTROLLER UNIT,OPTION,LAVATORY
2025-03-25 10:47:58,1741078572117893110983381999-,,,,,,TLG07305,PFG,,,,,LW630
2025-03-25 11:19:01,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 14:54:02,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 14:55:56,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 14:57:29,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-25 14:58:07,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 14:58:53,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-25 14:59:59,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-25 15:11:51,1741078572117893110983381999-,,,,,1,TLP02308,PC,,,,,LW681B
2025-03-25 15:13:34,1741078572117893110983381999-,,,,,1,TLP02307,PC,,,,,LW630
2025-03-25 15:16:19,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-25 15:16:35,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 15:47:46,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 15:47:59,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 15:48:51,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 15:48:54,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 15:48:55,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 15:48:55,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-25 18:57:08,1741078572117893110983381999-,,,,,,TLP02307,PTN,,,,,LW630
2025-03-26 15:54:12,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 15:54:19,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 15:54:44,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 15:58:18,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 15:58:29,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 15:58:30,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 15:58:30,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 15:58:30,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 15:58:58,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:00:16,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:01:00,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:01:01,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:01:02,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:01:02,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:11:42,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 16:14:25,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:34,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:36,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:51,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:52,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:53,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:53,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:14:53,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:15:10,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:15:11,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:16:27,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:16:28,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 16:22:52,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 17:21:46,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
2025-03-26 17:21:47,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW630
2025-03-26 17:21:50,1741078572117893110983381999-,,,,,,TLP02307,PC,,,,,LW896
