DATE,UUID,TOUCHLESS FLG,TOP Select - FAUCET / Series,TOP Select - FAUCET / Shape,TOP Select - FAUCET / Colour,TOP Select - LAVATORY,FAUCET,FAUCET COLOUR,SOAP DISPENSER,SOAP TANK,CONTROLLER UNIT,OPTION,LAVATORY
2024-12-09 11:53:39,17337128191866402159553892914-,,,,,1,TLP02301,PC,,,,,LW1315
2024-12-09 11:54:20,17337128191866402159553892914-,,,,,1,TLE31001,PC,,,TLE02501,,LW1315
2024-12-10 12:31:59,17337128191866402159553892914-,,,,,1,TLE20001,PC,,,TLE03501,,LW1315
2024-12-24 16:45:43,17337128191866402159553892914-,,,,,1,TLP02301,PC,,,,,L372
