ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,,,商品分類（1）,商品分類（2）,画像調整,,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,カラー（単色）,,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,ボウル横幅（B-W),ボウル奥行,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,MBL,MW,MBE,MGR,FG,MO,SR,AB,W,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,SIZE_B-W,SIZE_B-H,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,COLOUR_MBL,COLOUR_MW,COLOUR_MBE,COLOUR_MGR,COLOUR_FG,COLOUR_MO,COLOUR_SR,COLOUR_ABU,COLOUR_W,COLOUR_DEFAULT
37,lavatory,LW5715B,,,,Vessel outset：Square,vessel_outset,,500,70,380,,,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
38,lavatory,LW5716B,,,,Vessel outset：Square,vessel_outset,,600,70,460,,,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
39,lavatory,LW1704,,,,Vessel outset：Round,vessel_outset,,400,60,400,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
40,lavatory,LW523,,,,Vessel outset：Round,vessel_outset,,430,160,430,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
42,lavatory,LW366,,,,Vessel outset：Round,vessel_outset,,450,150,450,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
43,lavatory,LW4724,,,,Vessel outset：Round,vessel_outset,,400,80,260,,,R,outset,,,,,if2017_gold,,,,,,,,,,,,,,,,,,,1,W
44,lavatory,LW4706,,,,Vessel outset：Round,vessel_outset,,600,90,420,,,R,outset,,,,,if2017_gold,,,,,,,,,,,1,1,1,1,,,,,1,W
45,lavatory,LW4704,,,,Vessel outset：Round,vessel_outset,,460,130,420,,,R,outset,,,,,,rd2020,,,,,,,,,,1,1,1,1,,,,,1,W
46,lavatory,LW1705,,,,Vessel outset：Round,vessel_outset,,550,125,380,,,R,outset,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,W
47,lavatory,L700,,,,Vessel inset：Round,vessel_inset,,490,90,490,,,R,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
