ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,画像調整,,Faucet一覧表示制御,,仕様テキスト,注釈テキスト,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,ECOPOWER,EWATER,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,HIDE_LIST,LIST_DISP_PRODUCT_ID,DESCRIPTION,EXPLAIN,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
124,faucet,TLG07306,,G,GE,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PFG
125,faucet,TLG07307,,G,GE,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PFG
126,faucet,TLG07308,,G,GE,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PFG
127,faucet,TLG07201,,G,GE,2 handle,handle,,,,,,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PFG
128,faucet,TLG08301,,G,GC,Single W/ pop-up,single_w_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
129,faucet,TLG08303,,G,GC,Single W/ pop-up,single_w_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
130,faucet,TLG08305,,G,GC,Single W/ pop-up,single_w_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
131,faucet,TLG08302,,G,GC,single W/O pop-up,single_wo_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
132,faucet,TLG08304,,G,GC,single W/O pop-up,single_wo_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
133,faucet,TLG08306,,G,GC,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
134,faucet,TLG08307,,G,GC,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
135,faucet,TLG08308,,G,GC,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
136,faucet,TLG08201,,G,GC,2 handle,handle,,,,,,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PBR
137,faucet,TLG09301,,G,GM,Single W/ pop-up,single_w_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,if2019,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
