OUTPUT,OVER_HEAD_SHOWER,,,,HEAD_SHOWER,,,SPAUT,,,CONTROLLER,,,,,,VALVE,,,
1,N,,,,G,Square,S,,,,lever,1NL-1,MGS0431,G,Square,S,,,◯,
1,N,,,,G,Square,S,,,,lever,1NL-1,MGS0231,G,Square,S,,,◯,
1,N,,,,G,Square,S,,,,lever,1NL-1,MLR0131,L,Round,R,,,,
1,N,,,,G,Square,S,,,,lever,1NL-1,MLR0231,L,Round,R,,,,
1,N,,,,G,Square,S,,,,lever,1NL-1,MLR0331,L,Round,R,,,,
1,N,,,,G,Square,S,,,,lever,1NL-1,MLR0431,L,Round,R,,,,
1,N,,,,L,Round,R,,,,handle,1NH-1,MGR9941,G,Round,R,,,◯,
1,N,,,,L,Round,R,,,,handle,1NH-1,MGS9941,G,Square,S,,,,
1,N,,,,L,Round,R,,,,handle,1NH-2,MGR9940,G,Round,R,VGR01,,,
1,N,,,,L,Round,R,,,,handle,1NH-2,MGS9940,G,Square,S,VGS01,,,
1,N,,,,L,Round,R,,,,switch,1NS-1,MGS9941B,G,Square,S,,,◯,
1,N,,,,L,Round,R,,,,lever,1NL-1,MZS0231,Z,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGR1131,G,Round,R,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGR0131,G,Round,R,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGR0331,G,Round,R,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGS0731,G,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGS0831,G,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGS0931,G,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGS1031,G,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGS0431,G,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MGS0231,G,Square,S,,,,
1,N,,,,L,Round,R,,,,lever,1NL-1,MLR0131,L,Round,R,,,◯,
1,N,,,,L,Round,R,,,,lever,1NL-1,MLR0231,L,Round,R,,,◯,
1,N,,,,L,Round,R,,,,lever,1NL-1,MLR0331,L,Round,R,,,◯,
1,N,,,,L,Round,R,,,,lever,1NL-1,MLR0431,L,Round,R,,,◯,
2,Y,Z,Round,R,G,Round,R,,,,handle,2YH-1,MGR9940,G,Round,R,VGR13,,◯,
2,Y,Z,Round,R,G,Round,R,,,,handle,2YH-1,MGS9940,G,Square,S,VGS13,,,
2,Y,Z,Round,R,G,Round,R,,,,handle,2YH-2,MGR9942,G,Round,R,VGR02,,,
2,Y,Z,Round,R,G,Round,R,,,,handle,2YH-2,MGS9942,G,Square,S,VGS02,,,
2,Y,Z,Round,R,G,Round,R,,,,switch,2YS-1,MGS9943,G,Square,S,VGS23,,◯,
2,Y,Z,Round,R,G,Round,R,,,,switch,2YS-2,MGS9941B,G,Square,S,VGS03,,,
2,Y,Z,Round,R,G,Round,R,,,,lever,2YL-1,MZS0232,Z,Square,S,VGS02,,,
2,Y,Z,Round,R,G,Round,R,,,,lever,2YL-1,MGR1132,G,Round,R,VGR02,,◯,RECOMMENDをZにするべきか？（Round統一の方が優先？）
2,Y,Z,Round,R,G,Round,R,,,,lever,2YL-1,MGR0132,G,Round,R,VGR02,,◯,RECOMMENDをZにするべきか？（Round統一の方が優先？）
