ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE (over head shower),GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA (over head shower),WARM SPA (hand shower),COMFORT WAVE (hand shower),INTENSE WAVE,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,TECH_12,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
265,bath-spout,TBG01001,SGR01,G,GS,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
266,controller,TBS01303,MLR0131,L,LB,Round,R,,,,,lever,normal,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
267,controller,TBS01304,MLR0132,L,LB,Round,R,,,,,lever,w/Diverter,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
268,bath-spout,TBG01001,SGR01,L,LB,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
269,controller,TBS02303,MLR0231,L,LN,Round,R,,,,,lever,normal,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
270,controller,TBS02304,MLR0232,L,LN,Round,R,,,,,lever,w/Diverter,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
271,bath-spout,TBS02001,SLR02,L,LN,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
272,controller,TBS03303,MLR0331,L,LC,Round,R,,,,,lever,normal,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
273,controller,TBS03304,MLR0332,L,LC,Round,R,,,,,lever,w/Diverter,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
274,bath-spout,TBS03001,SLR03,L,LC/LF,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
275,controller,TBS04303,MLR0431,L,LF,Round,R,,,,,lever,normal,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
276,controller,TBS04304,MLR0432,L,LF,Round,R,,,,,lever,w/Diverter,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
